"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 10- 01","22.536","22.185","22.600","21.990","43.51K","2.22%"
"2021- 09- 30","22.047","21.515","22.225","21.460","66.12K","2.62%"
"2021- 09- 29","21.485","22.475","22.565","21.410","80.16K","-4.37%"
"2021- 09- 28","22.467","22.625","22.680","22.080","55.49K","-1.00%"
"2021- 09- 27","22.694","22.395","22.865","22.390","36.11K","1.20%"
"2021- 09- 24","22.425","22.530","22.790","22.090","41.67K","-1.12%"
"2021- 09- 23","22.679","22.695","22.880","22.465","43.74K","-1.00%"
"2021- 09- 22","22.907","22.485","23.150","22.455","51.99K","1.31%"
"2021- 09- 21","22.611","22.265","22.720","22.210","41.11K","1.83%"
"2021- 09- 20","22.204","22.330","22.500","22.025","50.98K","-0.60%"
"2021- 09- 17","22.337","22.910","23.130","22.305","66.39K","-2.00%"
"2021- 09- 16","22.794","23.865","24.000","22.585","90.20K","-4.23%"
"2021- 09- 15","23.801","23.865","23.940","23.670","32.69K","-0.35%"
"2021- 09- 14","23.885","23.775","23.980","23.435","42.44K","0.37%"
"2021- 09- 13","23.796","23.790","23.890","23.360","47.76K","-0.44%"
"2021- 09- 10","23.900","24.100","24.345","23.760","39.09K","-1.15%"
"2021- 09- 09","24.177","23.995","24.355","23.865","43.41K","0.50%"
"2021- 09- 08","24.056","24.390","24.480","23.940","45.43K","-1.30%"
"2021- 09- 06","24.373","24.865","24.895","24.210","69.93K","-1.73%"
"2021- 09- 03","24.802","23.950","24.945","23.910","67.19K","3.70%"
"2021- 09- 02","23.918","24.200","24.275","23.815","36.86K","-1.25%"
"2021- 09- 01","24.221","23.935","24.325","23.775","48.67K","0.90%"
"2021- 08- 31","24.006","24.065","24.270","23.830","44.56K","0.00%"
"2021- 08- 30","24.006","24.130","24.280","23.950","47.98K","-0.43%"
"2021- 08- 27","24.110","23.610","24.180","23.355","61.30K","2.38%"
"2021- 08- 26","23.550","23.870","23.895","23.420","55.51K","-0.95%"
"2021- 08- 25","23.775","23.875","23.910","23.590","56.58K","-0.50%"
"2021- 08- 24","23.894","23.645","23.975","23.545","52.17K","1.01%"
"2021- 08- 23","23.656","22.985","23.705","22.925","57.34K","2.35%"
"2021- 08- 20","23.112","23.210","23.300","22.835","55.72K","-0.51%"
"2021- 08- 19","23.230","23.500","23.515","23.080","51.43K","-0.82%"
"2021- 08- 18","23.422","23.660","23.830","23.265","46.29K","-1.00%"
"2021- 08- 17","23.659","23.840","23.955","23.565","42.59K","-0.55%"
"2021- 08- 16","23.791","23.675","23.890","23.380","42.36K","0.05%"
"2021- 08- 13","23.779","23.155","23.830","23.130","53.76K","2.87%"
"2021- 08- 12","23.116","23.515","23.530","22.970","66.98K","-1.58%"
"2021- 08- 11","23.488","23.325","23.565","23.190","70.05K","0.41%"
"2021- 08- 10","23.392","23.450","23.675","23.220","62.93K","0.53%"
"2021- 08- 09","23.269","24.340","24.380","22.295","118.53K","-4.35%"
"2021- 08- 06","24.326","25.195","25.230","24.205","113.95K","-3.82%"
"2021- 08- 05","25.292","25.425","25.565","25.115","42.43K","-0.66%"
"2021- 08- 04","25.461","25.590","26.090","25.375","72.93K","-0.47%"
"2021- 08- 03","25.582","25.470","25.665","25.270","45.85K","0.03%"
"2021- 08- 02","25.575","25.625","25.675","25.345","52.01K","0.11%"
"2021- 07- 30","25.547","25.600","25.685","25.395","43.33K","-0.91%"
"2021- 07- 29","25.782","25.015","25.875","25.000","70.55K","3.64%"
"2021- 07- 28","24.877","24.730","25.060","24.655","54.85K","0.92%"
"2021- 07- 27","24.649","25.255","25.320","24.515","80.91K","-2.64%"
"2021- 07- 26","25.318","25.270","25.510","25.175","40.29K","0.34%"
"2021- 07- 23","25.233","25.480","25.535","25.050","39.88K","-0.58%"
"2021- 07- 22","25.381","25.330","25.515","25.060","48.08K","0.50%"
"2021- 07- 21","25.255","24.975","25.365","24.790","50.53K","1.04%"
"2021- 07- 20","24.995","25.240","25.315","24.840","64.68K","-0.59%"
"2021- 07- 19","25.144","25.700","25.805","25.035","86.39K","-2.52%"
"2021- 07- 16","25.795","26.430","26.550","25.640","78.28K","-2.27%"
"2021- 07- 15","26.394","26.325","26.490","26.245","35.26K","0.47%"
"2021- 07- 14","26.271","26.055","26.575","26.010","65.10K","0.50%"
"2021- 07- 13","26.140","26.320","26.440","26.005","50.73K","-0.38%"
"2021- 07- 12","26.239","26.185","26.375","25.930","43.37K","0.02%"
"2021- 07- 09","26.234","26.005","26.300","25.820","45.50K","0.95%"
"2021- 07- 08","25.987","26.265","26.310","25.875","59.52K","-0.54%"
"2021- 07- 07","26.129","26.265","26.545","26.060","50.06K","-0.17%"
"2021- 07- 05","26.174","26.640","26.910","26.100","80.50K","-1.23%"
"2021- 07- 02","26.501","26.145","26.700","26.100","57.34K","1.54%"
"2021- 07- 01","26.100","26.250","26.525","26.045","54.77K","-0.36%"
"2021- 06- 30","26.194","25.875","26.275","25.800","44.64K","1.13%"
"2021- 06- 29","25.901","26.235","26.235","25.580","75.84K","-1.23%"
"2021- 06- 28","26.223","26.190","26.295","25.845","42.31K","0.52%"
"2021- 06- 25","26.087","26.010","26.380","25.970","49.17K","0.14%"
"2021- 06- 24","26.050","25.935","26.245","25.865","53.06K","-0.23%"
"2021- 06- 23","26.111","25.835","26.370","25.800","66.10K","0.98%"
"2021- 06- 22","25.857","25.995","26.085","25.735","54.12K","-0.65%"
"2021- 06- 21","26.025","25.865","26.135","25.580","66.36K","0.22%"
"2021- 06- 18","25.969","25.950","26.555","25.770","88.18K","0.44%"
"2021- 06- 17","25.856","27.005","27.320","25.820","156.97K","-7.03%"
"2021- 06- 16","27.812","27.795","27.970","26.700","74.31K","0.43%"
"2021- 06- 15","27.693","28.000","28.030","27.485","63.84K","-1.23%"
"2021- 06- 14","28.039","28.095","28.160","27.565","61.12K","-0.38%"
"2021- 06- 11","28.146","28.145","28.445","28.025","75.34K","0.41%"
"2021- 06- 10","28.031","27.905","28.180","27.475","82.06K","0.10%"
"2021- 06- 09","28.002","27.735","28.145","27.620","64.18K","0.98%"
"2021- 06- 08","27.731","28.025","28.120","27.610","70.19K","-1.02%"
