"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 07- 11","1,423.50","1,437.00","1,455.00","1,419.75","6.15K","-5.93%"
"2022- 07- 08","1,513.25","1,489.00","1,516.50","1,473.75","","1.89%"
"2022- 07- 07","1,485.25","1,450.00","1,496.75","1,448.75","","2.68%"
"2022- 07- 06","1,446.50","1,447.00","1,461.50","1,424.25","","0.50%"
"2022- 07- 05","1,439.25","1,494.00","1,495.00","1,431.75","","-4.67%"
"2022- 07- 01","1,509.75","1,563.75","1,573.25","1,505.25","31.17K","-3.25%"
"2022- 06- 30","1,560.50","1,571.50","1,601.25","1,552.75","","-0.70%"
"2022- 06- 29","1,571.50","1,554.00","1,573.75","1,546.75","","0.96%"
"2022- 06- 28","1,556.50","1,534.75","1,564.25","1,531.75","","1.77%"
"2022- 06- 27","1,529.50","1,510.75","1,536.25","1,504.00","","-5.04%"
"2022- 06- 24","1,610.75","1,588.25","1,620.50","1,583.00","","1.10%"
"2022- 06- 23","1,593.25","1,654.00","1,655.50","1,590.00","","-3.60%"
"2022- 06- 22","1,652.75","1,684.25","1,685.00","1,647.50","","-1.68%"
"2022- 06- 21","1,681.00","1,695.00","1,702.00","1,675.75","","-0.91%"
"2022- 06- 20","1,696.38","1,696.88","1,696.88","1,696.38","","-0.03%"
"2022- 06- 19","1,696.88","1,696.88","1,696.88","1,696.88","","-0.30%"
"2022- 06- 17","1,702.00","1,712.50","1,724.50","1,700.50","84.65K","-0.44%"
"2022- 06- 16","1,709.50","1,696.75","1,715.50","1,690.50","","0.93%"
"2022- 06- 15","1,693.75","1,698.00","1,705.00","1,682.25","","-0.28%"
"2022- 06- 14","1,698.50","1,707.50","1,728.25","1,697.00","","-0.53%"
"2022- 06- 13","1,707.50","1,751.50","1,757.00","1,702.00","","-2.18%"
"2022- 06- 10","1,745.50","1,770.50","1,775.50","1,742.75","","-1.33%"
"2022- 06- 09","1,769.00","1,741.00","1,784.00","1,728.50","","1.67%"
"2022- 06- 08","1,740.00","1,729.25","1,758.00","1,726.50","138.39K","0.68%"
"2022- 06- 07","1,728.25","1,699.25","1,732.75","1,692.25","","1.71%"
"2022- 06- 06","1,699.25","1,709.00","1,717.75","1,690.00","82.28K","0.09%"
"2022- 06- 03","1,697.75","1,728.75","1,730.50","1,694.00","","-1.82%"
"2022- 06- 02","1,729.25","1,690.25","1,740.75","1,681.25","","2.31%"
"2022- 06- 01","1,690.25","1,687.25","1,706.50","1,675.25","","0.42%"
"2022- 05- 31","1,683.25","1,737.75","1,749.25","1,673.75","147.01K","-3.12%"
"2022- 05- 30","1,737.50","1,737.50","1,737.50","1,737.50","","0.30%"
"2022- 05- 27","1,732.25","1,725.75","1,744.25","1,718.75","93.35K","0.33%"
"2022- 05- 26","1,726.50","1,675.25","1,737.00","1,667.25","144.07K","2.71%"
"2022- 05- 25","1,681.00","1,694.25","1,697.75","1,665.50","","-0.71%"
"2022- 05- 24","1,693.00","1,687.75","1,696.75","1,673.50","","0.36%"
"2022- 05- 23","1,687.00","1,706.00","1,720.00","1,685.00","","-1.07%"
"2022- 05- 20","1,705.25","1,691.00","1,710.75","1,683.25","","0.87%"
"2022- 05- 19","1,690.50","1,663.75","1,697.00","1,660.75","102.89K","1.67%"
"2022- 05- 18","1,662.75","1,678.00","1,686.75","1,657.00","","-0.91%"
"2022- 05- 17","1,678.00","1,655.00","1,684.25","1,645.25","","1.30%"
"2022- 05- 16","1,656.50","1,657.50","1,668.00","1,650.25","","0.61%"
"2022- 05- 13","1,646.50","1,614.75","1,651.50","1,614.00","","2.03%"
"2022- 05- 12","1,613.75","1,607.50","1,627.25","1,590.25","","0.44%"
"2022- 05- 11","1,606.75","1,593.50","1,615.00","1,587.50","","0.91%"
"2022- 05- 10","1,592.25","1,589.00","1,605.00","1,580.50","","0.44%"
"2022- 05- 09","1,585.25","1,623.75","1,626.00","1,578.00","96.28K","-2.27%"
"2022- 05- 06","1,622.00","1,649.50","1,650.00","1,618.00","74.87K","-1.52%"
"2022- 05- 05","1,647.00","1,643.00","1,667.00","1,640.00","81.21K","0.05%"
"2022- 05- 04","1,646.12","1,633.50","1,646.12","1,622.00","","0.96%"
"2022- 05- 03","1,630.50","1,649.50","1,662.75","1,629.00","","-0.90%"
"2022- 05- 02","1,645.25","1,684.50","1,688.75","1,635.00","98.83K","-2.38%"
"2022- 04- 29","1,685.38","1,686.25","1,704.38","1,679.25","","0.04%"
"2022- 04- 28","1,684.75","1,694.25","1,700.00","1,681.25","","-0.47%"
"2022- 04- 27","1,692.75","1,673.25","1,698.00","1,665.50","119.53K","1.22%"
"2022- 04- 26","1,672.38","1,675.62","1,696.38","1,662.25","","-0.17%"
