"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 06- 29","109.40","109.10","109.85","108.88","4.98K","-0.47%"
"2022- 06- 28","109.92","109.88","110.55","109.42","5.52K","-0.23%"
"2022- 06- 27","110.17","111.58","111.97","110.10","5.85K","-0.68%"
"2022- 06- 24","110.92","109.30","111.33","109.03","7.34K","2.18%"
"2022- 06- 23","108.55","111.90","112.40","108.28","10.07K","-2.95%"
"2022- 06- 22","111.85","112.60","112.88","111.50","7.59K","-0.77%"
"2022- 06- 21","112.72","110.85","112.92","110.50","14.46K","1.66%"
"2022- 06- 19","110.88","110.88","110.88","110.88","","-0.11%"
"2022- 06- 17","111.00","110.80","111.47","110.08","11.75K","1.30%"
"2022- 06- 16","109.58","107.58","109.92","107.47","9.71K","1.20%"
"2022- 06- 15","108.28","106.00","108.85","105.62","13.10K","-0.16%"
"2022- 06- 14","108.45","108.20","108.55","108.08","2.10K","0.42%"
"2022- 06- 13","108.00","107.80","108.12","107.62","3.01K","0.19%"
"2022- 06- 10","107.80","107.62","108.05","107.45","2.39K","0.78%"
"2022- 06- 09","106.97","106.80","107.15","106.05","4.20K","-0.82%"
"2022- 06- 08","107.85","108.35","108.80","107.20","4.20K","-0.53%"
"2022- 06- 07","108.42","108.67","109.03","108.12","5.65K","-0.73%"
"2022- 06- 06","109.22","109.78","109.78","108.20","7.40K","-0.89%"
"2022- 06- 03","110.20","110.50","110.70","109.88","4.29K","0.14%"
"2022- 06- 02","110.05","110.85","111.17","109.78","4.41K","0.23%"
"2022- 06- 01","109.80","109.00","110.12","108.60","6.62K","1.69%"
"2022- 05- 31","107.97","109.45","109.45","107.30","6.98K","-2.00%"
"2022- 05- 29","110.18","110.18","110.18","110.18","","-0.20%"
"2022- 05- 27","110.40","110.42","111.58","109.97","6.56K","-0.63%"
"2022- 05- 26","111.10","109.58","111.60","107.83","8.30K","1.88%"
"2022- 05- 25","109.05","109.88","111.17","108.05","8.25K","0.02%"
"2022- 05- 24","109.03","109.42","110.00","107.25","9.06K","-1.22%"
